uniprot_accession,standard_inchi_key,protein_fragment,drug_name,avg_predictions
P0DTC2_sp,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Hydroxychloroquine,6.098438812438322
P0DTC2_sp,FWYSMLBETOMXAG-QHCPKHFHSA-N,SPIKE_SARS2_glycoprotein,Letermovir,6.095468685314143
P0DTC2_sp,OLNTVTPDXPETLC-XPWALMASSA-N,SPIKE_SARS2_glycoprotein,Ezetimibe,6.046048858018134
P0DTC2_sp,VHVPQPYKVGDNFY-ZPGVKDDISA-N,SPIKE_SARS2_glycoprotein,Itraconazole,6.041148943184659
P0DTC2_sp,SGTNSNPWRIOYBX-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Verapamil,6.0402883439615485
P0DTC2_sp,LOUPRKONTZGTKE-WZBLMQSHSA-N,SPIKE_SARS2_glycoprotein,Quinine,6.014009279360401
P0DTC2_sp,AAKJLRGGTJKAMG-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Erlotinib,5.989613551775439
P0DTC2_sp,GVKXFVCXBFGBCD-QKDMMWSPSA-N,SPIKE_SARS2_glycoprotein,Silvestrol,5.9866651432781115
P0DTC2_sp,FJLGEFLZQAZZCD-JUFISIKESA-N,SPIKE_SARS2_glycoprotein,Fluvastatin,5.9811103537807515
P0DTC2_sp,KCFYEAOKVJSACF-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Arbidol-(Umifenovir),5.978593837139816
P0DTC2_sp,RYYVLZVUVIJVGH-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Caffeine,5.97851540671721
P0DTC2_sp,ZCOLJUOHXJRHDI-CMWLGVBASA-N,SPIKE_SARS2_glycoprotein,Genistin,5.971809311616001
P0DTC2_sp,LPLVUJXQOOQHMX-QWBHMCJMSA-N,SPIKE_SARS2_glycoprotein,Glycyrrhizin,5.9544999719711456
P0DTC2_sp,HDOVUKNUBWVHOX-QMMMGPOBSA-N,SPIKE_SARS2_glycoprotein,Valacyclovir,5.954110352375625
P0DTC2_sp,PWWVAXIEGOYWEE-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Promethazine,5.9388296107317515
P0DTC2_sp,TTZHDVOVKQGIBA-IQWMDFIBSA-N,SPIKE_SARS2_glycoprotein,Sofosbuvir,5.916693170649846
P0DTC2_sp,NMUSYJAQQFHJEW-KVTDHHQDSA-N,SPIKE_SARS2_glycoprotein,Azacitidine,5.899449181124364
P0DTC2_sp,NOWRLNPOENZFHP-ARHDFHRDSA-N,SPIKE_SARS2_glycoprotein,N-MCT,5.890223674204442
P0DTC2_sp,XGALLCVXEZPNRQ-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Gefitinib,5.881176569609788
P0DTC2_sp,GWFOVSGRNGAGDL-FSDSQADBSA-N,SPIKE_SARS2_glycoprotein,Lobucavir,5.8785932276076895
P0DTC2_sp,BIIVYFLTOXDAOV-YVEFUNNKSA-N,SPIKE_SARS2_glycoprotein,Flavopiridol,5.878269949614613
P0DTC2_sp,ARAIBEBZBOPLMB-UFGQHTETSA-N,SPIKE_SARS2_glycoprotein,Zanamivir,5.862427084902629
P0DTC2_sp,MKUXAQIIEYXACX-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Aciclovir,5.846373907176528
P0DTC2_sp,FIHJKUPKCHIPAT-AHIGJZGOSA-N,SPIKE_SARS2_glycoprotein,Artesunate,5.84527960757436
P0DTC2_sp,QFJCIRLUMZQUOT-HPLJOQBZSA-N,SPIKE_SARS2_glycoprotein,Rapamycin-(Sirolimus),5.838283526652797
P0DTC2_sp,YBHILYKTIRIUTE-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Berberine,5.836737609618329
P0DTC2_sp,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Fluoxetine,5.83382312320432
P0DTC2_sp,AMFDITJFBUXZQN-KUBHLMPHSA-N,SPIKE_SARS2_glycoprotein,BCX4430-(Galidesivir),5.823882356767331
P0DTC2_sp,SGOIRFVFHAKUTI-ZCFIWIBFSA-N,SPIKE_SARS2_glycoprotein,Tenofovir,5.8130577969689785
P0DTC2_sp,JTEGQNOMFQHVDC-NKWVEPMBSA-N,SPIKE_SARS2_glycoprotein,Lamivudine,5.809698004100902
P0DTC2_sp,BPZSYCZIITTYBL-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Formoterol,5.807702363029389
P0DTC2_sp,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Dasatinib,5.802843545036954
P0DTC2_sp,PUFQVTATUTYEAL-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Dibucaine,5.800069610989018
P0DTC2_sp,PVTHJAPFENJVNC-UQTMRZPGSA-N,SPIKE_SARS2_glycoprotein,Kasugamycin,5.791447387507774
P0DTC2_sp,GDLIGKIOYRNHDA-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Clomipramine,5.788714034079689
P0DTC2_sp,XSDQTOBWRPYKKA-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,EIPA-(amiloride),5.7825119157820435
P0DTC2_sp,VSJKWCGYPAHWDS-FQEVSTJZSA-N,SPIKE_SARS2_glycoprotein,Camptothecin,5.7680353919013765
P0DTC2_sp,AUVVAXYIELKVAI-CKBKHPSWSA-N,SPIKE_SARS2_glycoprotein,Emetine,5.763789132997904
P0DTC2_sp,OVCDSSHSILBFBN-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Amodiaquine,5.75773255519763
P0DTC2_sp,BTIHMVBBUGXLCJ-OAHLLOKOSA-N,SPIKE_SARS2_glycoprotein,Roscovitine-(Seliciclib),5.754527342773409
P0DTC2_sp,XASIMHXSUQUHLV-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Camostat,5.753692482697743
P0DTC2_sp,IWVRVEIKCBFZNF-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Pirlindole,5.751372882233528
P0DTC2_sp,FCCNSUIJIOOXEZ-SJYYZXOBSA-N,SPIKE_SARS2_glycoprotein,Pentosan-polysulfate,5.74724275226364
P0DTC2_sp,MQQNFDZXWVTQEH-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Nafamostat,5.744473799990211
P0DTC2_sp,YVPXVXANRNDGTA-WDYNHAJCSA-N,SPIKE_SARS2_glycoprotein,Cepharanthine,5.735361813968291
P0DTC2_sp,VHOGYURTWQBHIL-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Leflunomide,5.732482379436506
P0DTC2_sp,XFCLJVABOIYOMF-QPLCGJKRSA-N,SPIKE_SARS2_glycoprotein,Toremifene,5.71344496097319
P0DTC2_sp,BUGYDGFZZOZRHP-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Memantine,5.709733551807597
P0DTC2_sp,IWUCXVSUMQZMFG-AFCXAGJDSA-N,SPIKE_SARS2_glycoprotein,Ribavirin,5.707798979977007
P0DTC2_sp,IRSCQMHQWWYFCW-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Ganciclovir,5.702411153645906
P0DTC2_sp,GPKJTRJOBQGKQK-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Quinacrine,5.699716591916596
P0DTC2_sp,VLCYCQAOQCDTCN-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Eflornithine,5.699171411431802
P0DTC2_sp,SDUQYLNIPVEERB-QPPQHZFASA-N,SPIKE_SARS2_glycoprotein,Gemcitabine,5.686675163113124
P0DTC2_sp,OUKYUETWWIPKQR-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Saracatinib,5.673884632034108
P0DTC2_sp,KTUFNOKKBVMGRW-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Imatinib,5.6641002281121375
P0DTC2_sp,AKJHMTWEGVYYSE-FXILSDISSA-N,SPIKE_SARS2_glycoprotein,4-HPR-(Fenretinide),5.6605894044131855
P0DTC2_sp,KQOXLKOJHVFTRN-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Pleconaril,5.645665912642096
P0DTC2_sp,RYMZZMVNJRMUDD-HGQWONQESA-N,SPIKE_SARS2_glycoprotein,Simvastatin,5.645654431433128
P0DTC2_sp,ANEBWFXPVPTEET-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Manidipine,5.643258903986829
P0DTC2_sp,ZJAOAACCNHFJAH-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Foscarnet,5.638446851272616
P0DTC2_sp,ACGUYXCXAPNIKK-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Hexachlorophene,5.629620345458994
P0DTC2_sp,VMEJANRODATDOF-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Diphyllin,5.62881704464452
P0DTC2_sp,HPNSFSBZBAHARI-RUDMXATFSA-N,SPIKE_SARS2_glycoprotein,Mycophenolic-acid,5.617385104561761
P0DTC2_sp,HYFHYPWGAURHIV-JFIAXGOJSA-N,SPIKE_SARS2_glycoprotein,Homoharringtonine,5.616686066748109
P0DTC2_sp,NKANXQFJJICGDU-QPLCGJKRSA-N,SPIKE_SARS2_glycoprotein,Tamoxifen,5.605312392193473
P0DTC2_sp,WINHZLLDWRZWRT-ATVHPVEESA-N,SPIKE_SARS2_glycoprotein,Sunitinib,5.594006558251602
P0DTC2_sp,RHMXXJGYXNZAPX-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Emodin,5.565286545997639
P0DTC2_sp,JFIOVJDNOJYLKP-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Bithionol,5.536444403978004
P0DTC2_sp,YJQPYGGHQPGBLI-KGSXXDOSSA-N,SPIKE_SARS2_glycoprotein,Novobiocin,5.517683678445087
P0DTC2_sp,YQNQNVDNTFHQSW-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Nitazoxanide,5.512921141109746
P0DTC2_sp,UTNUDOFZCWSZMS-YFHOEESVSA-N,SPIKE_SARS2_glycoprotein,Teriflunomide,5.503607342361377
P0DTC2_sp,PCZOHLXUXFIOCF-BXMDZJJMSA-N,SPIKE_SARS2_glycoprotein,Lovastatin,5.498376318547303
P0DTC2_sp,UIEATEWHFDRYRU-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Bepridil,5.450027206215049
P0DTC2_sp,QQOBRRFOVWGIMD-OJAKKHQRSA-N,SPIKE_SARS2_glycoprotein,Azaribine,5.406157731164387
P0DTC2_sp,CGIGDMFJXJATDK-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Indomethacin,5.386679160596875
P0DTC2_sp,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Acetylsalicylic-acid,5.3619507033061335
P0DTC2_sp,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Chlorpromazine,5.335979188633113
P0DTC2_sp,XZWYZXLIPXDOLR-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Metformin,5.298859808182651
P0DTC2_sp,ZCGNOVWYSGBHAU-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Favipiravir,5.288322491821406
P0DTC2_sp,IQPNAANSBPBGFQ-UHFFFAOYSA-N,SPIKE_SARS2_glycoprotein,Luteolin,5.223657361481168
