uniprot_accession,standard_inchi_key,canonical_smiles,compound_name,protein_fragment,avg_predictions
P0DTD1_pl,HBOMLICNUCNMMY-XLPZGREQSA-N,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,ZIDOVUDINE,PL-PRO(nsp3),6.279353719955407
P0DTD1_pl,HOGVTUZUJGHKPL-HTVVRFAVSA-N,CN1N=C(N)c2cn(C3OC(CO)C(O)C3O)c3ncnc1c23,API-2,PL-PRO(nsp3),6.175034270954706
P0DTD1_pl,GHASVSINZRGABV-UHFFFAOYSA-N,O=c1[nH]cc(F)c(=O)[nH]1,Fluorouracil,PL-PRO(nsp3),6.156726764870023
P0DTD1_pl,QBKSWRVVCFFDOT-UHFFFAOYSA-N,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,Gossypol,PL-PRO(nsp3),6.109953399886823
P0DTD1_pl,RZEXSKXQNAZHMZ-GXZIAACASA-N,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)NC2(CCN(CC(C)C)CC2)N=5)=NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(O)C1C,LM 565,PL-PRO(nsp3),6.09380833006423
P0DTD1_pl,RYYNGWLOYLRZLK-RBUKOAKNSA-N,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,PF-03814735,PL-PRO(nsp3),6.0910213019373645
P0DTD1_pl,GBJVVSCPOBPEIT-UHFFFAOYSA-N,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,Barasertib,PL-PRO(nsp3),6.086856977558201
P0DTD1_pl,VHRSUDSXCMQTMA-PJHHCJLFSA-N,CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,METHYLPREDNISOLONE,PL-PRO(nsp3),6.0795575445716405
P0DTD1_pl,XACKNLSZYYIACO-DJLDLDEBSA-N,CCc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,EDOXUDINE,PL-PRO(nsp3),6.074715659363255
P0DTD1_pl,SOLUWJRYJLAZCX-LYOVBCGYSA-N,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1C3CCC(C3)OC1C2,Bictegravir,PL-PRO(nsp3),6.065874571876048
P0DTD1_pl,QDUIJCOKQCCXQY-WHJQOFBOSA-N,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccn4ncccc43)CSC12)c1nsc(N)n1,cefozopran,PL-PRO(nsp3),6.049364306712745
P0DTD1_pl,HAYYBYPASCDWEQ-UHFFFAOYSA-N,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,Entrectinib,PL-PRO(nsp3),6.039476033787416
P0DTD1_pl,CJXAEXPPLWQRFR-UHFFFAOYSA-N,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,Clemizol,PL-PRO(nsp3),6.014704442697744
P0DTD1_pl,WKDACQVEJIVHMZ-UHFFFAOYSA-N,CCS(=O)(=O)c1cccc(-c2cc(C(=O)NC3CCN(C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1,TAK-901,PL-PRO(nsp3),6.012674892113672
P0DTD1_pl,PPUXXDKQNAHHON-BJLQDIEVSA-N,CCC(NC(=O)C(CS(=O)(=O)CC1CC1)NC(c1ccc(F)cc1)C(F)(F)F)C(=O)C(=O)NC1CC1,VBY-825,PL-PRO(nsp3),6.006345120960796
P0DTD1_pl,KSOVGRCOLZZTPF-QMKUDKLTSA-N,Cc1cc(Nc2ncc(F)c(NC3C4C=CC(C4)C3C(N)=O)n2)ccc1N1CCN(C)CC1,R-763,PL-PRO(nsp3),6.001808230507882
P0DTD1_pl,WFTSRDISOMSAQC-ZNFOTRSXSA-N,CCN(CC)CCn1c2c(c3ccc(OC)cc31)CCN1CC3CC(OC(=O)c4cc(OC)c(OC)c(OC)c4)C(OC)C(C(=O)OC)C3CC21,BIETASERPINE,PL-PRO(nsp3),5.994143195804606
P0DTD1_pl,LLYYNOVSVPBRGV-MVNKZKPCSA-N,C=CC1(C)CC(OC(=O)CSC(C)(C)CNC(=O)C(N)C(C)C)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,Valnemulin,PL-PRO(nsp3),5.992753135175085
P0DTD1_pl,YZCUMZWULWOUMD-NDEPHWFRSA-N,COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,BAY-1251152,PL-PRO(nsp3),5.978373479307931
P0DTD1_pl,VKBBVOVNGWGZCA-HVIPQOSHSA-N,Cc1cc(Cl)c(OCCOc2ccc(C3=C(C(=O)N(Cc4cccc(C)c4C)C4CC4)C4CNCC(C3)N4)cc2)c(Cl)c1,ACT-077825,PL-PRO(nsp3),5.97319351433811
P0DTD1_pl,ZVYVPGLRVWUPMP-FYSMJZIKSA-N,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)c3c1c2C(N)CC3,EXATECAN,PL-PRO(nsp3),5.972683344058468
P0DTD1_pl,ZAJXXUDARPGGOC-UHFFFAOYSA-N,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,MP-412,PL-PRO(nsp3),5.970869017360185
P0DTD1_pl,FMHQJXGMLMSMLC-WBUYAQKGSA-N,CCC1(C)CC(OC(=O)CSc2n[nH]c(N)n2)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,AZAMULIN,PL-PRO(nsp3),5.97033997057751
P0DTD1_pl,RWWYLEGWBNMMLJ-YSOARWBDSA-N,CCC(CC)COC(=O)C(C)NP(=O)(OCC1OC(C#N)(c2ccc3c(N)ncnn23)C(O)C1O)Oc1ccccc1,Remdesivir,PL-PRO(nsp3),5.96401520022555
P0DTD1_pl,BLMPQMFVWMYDKT-NZTKNTHTSA-N,CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1,carfilzomib,PL-PRO(nsp3),5.952527846105075
P0DTD1_pl,DKORMNNYNRPTBJ-UHFFFAOYSA-N,Cc1ccc(CCCO)c(NCc2ccc3nc(NCCCN4CCOCC4)n(Cc4nc(C)ccc4O)c3c2)c1,TMC-353121,PL-PRO(nsp3),5.937697239651324
P0DTD1_pl,VFCRKLWBYMDAED-REWPJTCUSA-N,CCCC(NC1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,Nirogacestat,PL-PRO(nsp3),5.931365273911792
P0DTD1_pl,HSGZLFWXBIVLBD-LBPRGKRZSA-N,CC(=O)NCC1CN(c2cc(F)c(N3CCS(=O)(=O)CC3)c(F)c2)C(=O)O1,PNU-288034,PL-PRO(nsp3),5.928846381623614
P0DTD1_pl,ZFVRYNYOPQZKDG-UHFFFAOYSA-N,CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(NC4CCC(O)CC4)c3)c2C1,PF-04928473,PL-PRO(nsp3),5.926838431489179
P0DTD1_pl,JLYAXFNOILIKPP-KXQOOQHDSA-N,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC(CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,ABT-263,PL-PRO(nsp3),5.925466711045848
P0DTD1_pl,WVUNYSQLFKLYNI-AATRIKPKSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,Pelitinib,PL-PRO(nsp3),5.923195154147572
P0DTD1_pl,JUSFANSTBFGBAF-IRXDYDNUSA-N,CNC(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,Vistusertib,PL-PRO(nsp3),5.920274690029978
P0DTD1_pl,AYCPARAPKDAOEN-LJQANCHMSA-N,Cc1nc(Nc2n[nH]c3c2CN(C(=O)NC(CN(C)C)c2ccccc2)C3(C)C)c2sccc2n1,PF-3758309,PL-PRO(nsp3),5.918154479790813
P0DTD1_pl,QEVHRUUCFGRFIF-MDEJGZGSSA-N,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,Reserpine,PL-PRO(nsp3),5.914978834575079
P0DTD1_pl,OGIAVRWXUPYGGC-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(-n2cc(Cl)c(OC3CCN(c4ncc(Cl)cn4)CC3)cc2=O)c(F)c1,BMS-903452,PL-PRO(nsp3),5.913351658071782
P0DTD1_pl,QPDYBCZNGUJZDK-DNQXCXABSA-N,NC(N)=NCCCCC(=O)Nc1cc(C(F)(F)F)cc(NC(=O)c2cc(C(=O)Nc3cc(C(F)(F)F)cc(NC(=O)CCCCN=C(N)N)c3OC3CCNC3)ncn2)c1OC1CCNC1,Brilacidin,PL-PRO(nsp3),5.91267312259613
P0DTD1_pl,NHTKGYOMICWFQZ-KKQYNPQSSA-N,CC(NP(=O)(OCC1OC(n2ccc(N)nc2=O)C(F)(F)C1O)Oc1ccccc1)C(=O)OCc1ccccc1,NUC-1031,PL-PRO(nsp3),5.912375766866754
P0DTD1_pl,BEUQXVWXFDOSAQ-UHFFFAOYSA-N,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,Taselisib,PL-PRO(nsp3),5.905857076714075
P0DTD1_pl,OBJKLVFDRLAGJI-UHFFFAOYSA-N,COCCN1CCC(N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3cccnc32)CC1,Goxalapladib,PL-PRO(nsp3),5.904882256802935
P0DTD1_pl,MNDBXUUTURYVHR-UHFFFAOYSA-N,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,Roflumilast,PL-PRO(nsp3),5.902959413657568
P0DTD1_pl,ZUZPCOQWSYNWLU-VIFPVBQESA-N,CNCCCOc1cc(F)c(-c2c(Cl)nc3ncnn3c2NC(C)C(F)(F)F)c(F)c1,Cevipabulin,PL-PRO(nsp3),5.899248555132232
P0DTD1_pl,QAGYKUNXZHXKMR-HKWSIXNMSA-N,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,Nelfinavir,PL-PRO(nsp3),5.897635219044806
P0DTD1_pl,IPMQOGDSJZQLFX-BIBZJUPHSA-N,NC(=O)C1(NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2csc3ccccc23)NC(=O)C2CCCNC2)CCNCC1,Relamorelin,PL-PRO(nsp3),5.891728868349308
P0DTD1_pl,UFPFGVNKHCLJJO-SSKFGXFMSA-N,CNC(C)C(=O)NC(C(=O)N1CCCC1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCCCC1,LCL-161,PL-PRO(nsp3),5.890089540038002
P0DTD1_pl,JAHDAIPFBPPQHQ-GDLZYMKVSA-N,C#Cc1cccc(-c2cc(=O)n(C)c3ccc(C(O)(c4ccc(Cl)cc4)c4cncn4C)cc23)c1,OSI-754,PL-PRO(nsp3),5.8864044578135335
P0DTD1_pl,IMOZEMNVLZVGJZ-QGZVFWFLSA-N,CCOc1cc(C(CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,CC-10004,PL-PRO(nsp3),5.886227427872256
P0DTD1_pl,NERXPXBELDBEPZ-RMKNXTFCSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,HKI-357,PL-PRO(nsp3),5.883882151403044
P0DTD1_pl,ZGRDYKFVDCFJCZ-UHFFFAOYSA-N,CCn1nc(C2CCN(C(=O)CCO)CC2)nc1-c1cnc(N)c(-c2nnc(C(C)(C)C)o2)n1,AZD-8835,PL-PRO(nsp3),5.881842629476849
P0DTD1_pl,GNNDEPIMDAZHRQ-UHFFFAOYSA-N,O=C(Nc1cc(Oc2cc(F)c(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1)C1CC1,Altiratinib,PL-PRO(nsp3),5.88144892395893
P0DTD1_pl,JGPXDNKSIXAZEQ-SBBZOCNPSA-N,O=C(O)C1C2CCC(CC2)C1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,Pimodivir,PL-PRO(nsp3),5.8805992893511965
P0DTD1_pl,QYQDKDWGWDOFFU-IUODEOHRSA-N,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1,cefotiam,PL-PRO(nsp3),5.879802837656825
P0DTD1_pl,WLAVZAAODLTUSW-UHFFFAOYSA-N,COCCNCc1ccc(-c2cc3nccc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)cc4F)c3s2)nc1,Sitravatinib,PL-PRO(nsp3),5.879331211348952
P0DTD1_pl,ZWBTYMGEBZUQTK-PVLSIAFMSA-N,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)NC2(CCN(CC(C)C)CC2)N=5)=NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,rifabutin,PL-PRO(nsp3),5.877673905759063
P0DTD1_pl,NDEXUOWTGYUVGA-LJQANCHMSA-N,Cn1cc(-c2[nH]c3cc(NC(=O)C(N)C4CCCCC4)cc4c3c2C=NNC4=O)cn1,PF-477736,PL-PRO(nsp3),5.87638786035527
P0DTD1_pl,YJQPYGGHQPGBLI-KGSXXDOSSA-N,COC1C(OC(N)=O)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,Novobiocin,PL-PRO(nsp3),5.8760677631845875
P0DTD1_pl,ZVZRDFTXNAZBOX-UWVGGRQHSA-N,CC(N)C(=O)NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,PD-131112,PL-PRO(nsp3),5.875255947035542
P0DTD1_pl,WSTUJEXAPHIEIM-UHFFFAOYSA-N,CC(C)NC(=O)C1CCC(n2c(NC(=O)c3ccc(F)cc3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,Belizatinib,PL-PRO(nsp3),5.870629588968146
P0DTD1_pl,BHXLLRXDAYEMPP-SBGRAJFYSA-N,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccc(N)n3CCO)CSC12)c1csc(N)n1,cefoselis,PL-PRO(nsp3),5.869748480705378
P0DTD1_pl,MZDKLVOWGIOKTN-UHFFFAOYSA-N,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,PF-562271,PL-PRO(nsp3),5.8688529548105395
P0DTD1_pl,DWZAEMINVBZMHQ-UHFFFAOYSA-N,CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,Gedatolisib,PL-PRO(nsp3),5.86701935144916
P0DTD1_pl,CGBJSGAELGCMKE-UHFFFAOYSA-N,COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,Omipalisib,PL-PRO(nsp3),5.865370739148355
P0DTD1_pl,VJYKVCURWJGLPG-IQZGDKDPSA-N,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)=C(O)C3(O)C(=O)C1=C2O,Omadacycline,PL-PRO(nsp3),5.865154098607178
P0DTD1_pl,RVJIQAYFTOPTKK-UHFFFAOYSA-N,CN(C)c1cc2c(cc1Sc1nc3c(N)nccc3n1CCNCC(C)(C)C)OCO2,Debio-0932,PL-PRO(nsp3),5.864221243021876
P0DTD1_pl,BCSHRERPHLTPEE-NRFANRHFSA-N,CNC(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2OC)CCCC(N2CCN(CCO)CC2)C3)ncc1Cl,CEP-37440,PL-PRO(nsp3),5.864129710551412
P0DTD1_pl,PIMQWRZWLQKKBJ-SFHVURJKSA-N,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12,Dinaciclib,PL-PRO(nsp3),5.863005752170196
P0DTD1_pl,BNVPFDRNGHMRJS-UHFFFAOYSA-N,CC1(C)CC=C(c2nc(C3CC(C)(C)OC(C)(C)C3)ccc2NC(=O)c2ncc(C#N)[nH]2)CC1,Edicotinib,PL-PRO(nsp3),5.859618534817093
P0DTD1_pl,VMKVDAAFMQKZJS-LFIBNONCSA-N,COc1c(N2CCCC(=C(F)CN)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Acorafloxacin,PL-PRO(nsp3),5.857511351164506
P0DTD1_pl,NHTKGYOMICWFQZ-BBOXMAMFSA-N,CC(NP(=O)(OCC1OC(n2ccc(N)nc2=O)C(F)(F)C1O)Oc1ccccc1)C(=O)OCc1ccccc1,Fosgemcitabine palabenamide,PL-PRO(nsp3),5.85736426344024
P0DTD1_pl,LNMRSSIMGCDUTP-UHFFFAOYSA-N,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1,Pexmetinib,PL-PRO(nsp3),5.856332586276262
P0DTD1_pl,ASSNCSVJAZEMQG-UHFFFAOYSA-N,COc1cc(Cc2cnc(N)nc2N)c2cc(Cc3c(C(=O)N(C)C)[nH]c4ccc(Cl)cc34)oc2c1OC,AR-709,PL-PRO(nsp3),5.852187825507609
P0DTD1_pl,PWAUCHMQEXVFJR-PMAPCBKXSA-N,Cc1cc(=O)c(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)c[nH]1,cefpiramide,PL-PRO(nsp3),5.851309038182002
P0DTD1_pl,UPJSUQWHUVLLNW-XMMPIXPASA-N,C#CCC(c1nc2cc(Cl)ccc2c(=O)n1Nc1ccccc1)N(CCCN)C(=O)c1cccc(Cl)c1F,ARQ-621,PL-PRO(nsp3),5.847203980945375
P0DTD1_pl,DHRSMTKISIZCET-VYXZUABCSA-N,CC(C)N1C(=O)N(CC2CCOCC2)CC12CC1CCC(C2)N1CCCC(CC(=O)C1CCC(F)(F)CC1)c1ccccc1,VCH-286,PL-PRO(nsp3),5.846573199840103
P0DTD1_pl,GWRSATNRNFYMDI-UHFFFAOYSA-N,COc1cc(C(=O)NC2CCN(C)CC2)c(F)cc1Nc1ncc2c(n1)N(C1CCCC1)CC(F)(F)C(=O)N2C,TAK-960,PL-PRO(nsp3),5.845760899710062
P0DTD1_pl,QTBWCSQGBMPECM-UHFFFAOYSA-N,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,GSK-1070916A,PL-PRO(nsp3),5.842415781443999
P0DTD1_pl,KQZVSTAVTJCKDG-DRSBITMPSA-N,C=C(C)C1CCC2(C(=O)OCC(N)(CO)CO)CCC3(C)C(CCC4C5(C)CCC(OC(C)=O)C(C)(C)C5CCC43C)C12,NVX-207,PL-PRO(nsp3),5.839109635246024
P0DTD1_pl,YCBAQKQAINQRFW-UGSOOPFHSA-N,CC(NC(=O)CCC(F)(F)F)C(=O)NC1C(=O)N(CCO)c2ncccc2-c2ccccc21,Crenigacestat,PL-PRO(nsp3),5.836509222055037
P0DTD1_pl,XFILPEOLDIKJHX-QYZOEREBSA-N,CNC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)C(CSc1cccs1)C(=O)NO,Batimastat,PL-PRO(nsp3),5.834542892157456
P0DTD1_pl,LQVXSNNAFNGRAH-QHCPKHFHSA-N,CC1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)[nH]n2)c2cccn2n1,BMS-754807,PL-PRO(nsp3),5.832584080283067
P0DTD1_pl,GMIZZEXBPRLVIV-SECBINFHSA-N,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1,(-)-SCH-900776,PL-PRO(nsp3),5.832110767171207
P0DTD1_pl,XSPUSVIQHBDITA-RKYNPMAHSA-N,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cn3nnc(C)n3)CSC12)c1csc(N)n1,Cefteram,PL-PRO(nsp3),5.830790407742056
P0DTD1_pl,PFWVGKROPKKEDW-UHFFFAOYSA-N,CC(C)(C)NC(=O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(C3CC3)cc2Cl)c1,Vidupiprant,PL-PRO(nsp3),5.829850250113095
P0DTD1_pl,WPHKIQPVPYJNAX-UHFFFAOYSA-N,Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,Ilorasertib,PL-PRO(nsp3),5.828608865937266
P0DTD1_pl,JSKFWUPVIZYJMR-UDOAKELVSA-N,CCN(CC)CCN1C(=O)c2c(c3c4cccc(Cl)c4n(C4OC(CO)C(OC)C(O)C4O)c3c3[nH]c4c(Cl)cccc4c23)C1=O,Becatecarin,PL-PRO(nsp3),5.826774058259976
P0DTD1_pl,IHIUGIVXARLYHP-UXNJHFGPSA-N,Cc1cc(C)c2c(c1)C(N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nnn(C)n1)CCCN2CC1CCC(C(=O)O)CC1,evacetrapib,PL-PRO(nsp3),5.826518098485974
P0DTD1_pl,GDCJHDUWWAKBIW-UHFFFAOYSA-N,COc1cccc2c1nc(C(F)F)n2-c1nc(-c2ccc(NS(=O)(=O)CCN(C)C)cc2)nc(N2CCOCC2)n1,PWT-33597,PL-PRO(nsp3),5.822631437064841
P0DTD1_pl,HJXPKHCLLLRQDL-HFCXZPKYSA-N,CC[n+]1ccc(SCC2=C(C(=O)[O-])N3C(=O)C(NC(=O)C(=NOC(C)C(=O)O)c4csc(N)n4)C3SC2)cc1,ME 1228,PL-PRO(nsp3),5.821386823589931
P0DTD1_pl,ACWZRVQXLIRSDF-UHFFFAOYSA-N,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,Binimetinib,PL-PRO(nsp3),5.82007895331911
